date,average_UF_minus_FINE,max_UF_minus_FINE,min_UF_minus_FINE,p25_UF_minus_FINE,p50_UF_minus_FINE,p75_UF_minus_FINE
8/9/2023,73.49804667,95.65588,39.88562,62.41913,84.95264,90.30426
8/10/2023,30.87538661,245.30005,1.5206299,4.2978517,6.390381,31.784393
8/11/2023,546.76105,1032.014,71.91785,304.134575,536.3513,784.18265
8/14/2023,34.22328225,81.42053,0.8078613,22.56701675,34.873535,46.40226625
8/15/2023,96.42669202,325.98706,0.7105713,30.92788675,66.0530395,120.1835938
8/16/2023,28.74551824,54.298584,3.7783203,19.77285725,28.456909,40.15133625
8/17/2023,29.09339091,81.46765,4.2802734,12.380615,24.191406,36.055664
8/18/2023,131.8766065,1516.4562,0.010009766,17.944458,48.57959,142.28125
8/19/2023,107.9479099,381.23828,12.055176,22.7852785,89.66992,161.991945
8/20/2023,257.4578209,2460.7185,7.076172,66.339355,138.34766,194.80518
8/21/2023,222.5597813,749.07666,2.2314453,58.798706,131.63379,383.898685
8/22/2023,470.4249373,1397.3984,1.2907715,76.819335,172.76562,950.43845
8/23/2023,90.87806657,299.23486,2.177002,18.1540525,59.14966,136.042967
8/24/2023,211.5568095,481.04688,21.995117,97.58496,157.71484,394.86133
8/25/2023,295.1001278,1754.2869,5.713379,88.81317375,223.713625,400.490235
8/26/2023,86.79345733,414.40967,0.3729248,20.8302,63.24597,109.056334
8/27/2023,139.2601728,227.94873,5.9763184,94.9158942,183.85547,205.9021
8/28/2023,74.71481517,283.6006,0.032714844,15.8666685,41.71753,130.441655
8/29/2023,569.9642159,4081.8884,4.4819336,162.922605,303.2085,687.8999
8/30/2023,26.17831773,298.72803,0.21411133,10.230225,17.11084,28.415161
8/31/2023,19.24192102,90.18823,3.567627,4.91882335,9.254639,21.6203615
9/1/2023,362.381844,1409.9058,0.86450195,16.20874,22.180908,362.74927
9/2/2023,5.9581301,9.58252,2.3337402,4.14593515,5.9581301,7.77032505
9/3/2023,12.496582,12.496582,12.496582,12.496582,12.496582,12.496582
9/4/2023,9.19883512,16.32251,0.20996094,4.03637695,9.945068,14.9207765
9/5/2023,100.1916915,620.86035,0.30517578,25.2020265,48.828125,122.062255
9/6/2023,51.13861081,152.56152,2.2786865,11.43301395,43.4025875,46.880188
9/7/2023,31.20435375,138.07275,0.3927002,5.3637695,17.141357,45.463135
9/8/2023,134.5704279,2361.9565,0.74438477,29.60962,69.903564,165.29663
9/9/2023,38.70459234,136.78467,0.20495605,18.25604225,29.5707395,51.71356225
9/10/2023,32.06354657,142.08594,8.28125,11.8659665,14.294189,18.025757
9/11/2023,227.4611812,443.97754,13.644531,41.633667,227.772825,410.95227
9/12/2023,5.456421,5.456421,5.456421,5.456421,5.456421,5.456421
9/13/2023,65.66856139,311.21387,1.3848877,11.486084,19.76416,86.6785875
9/15/2023,285.7128495,1451.573,4.7495117,19.45166075,48.0378425,123.37671
9/16/2023,30.94958497,110.191895,1.880127,6.25085445,8.70812965,40.26013175
9/17/2023,136.4792615,426.72607,0.045898438,15.33880575,115.433715,260.080555
9/18/2023,144.0460527,642.42896,4.230713,43.2904665,91.93909,177.9475675
9/19/2023,22.670258,39.79883,12.016357,14.533783,19.4329225,27.5693975
9/20/2023,116.724912,392.9319,8.64624,33.83203,79.21216,172.41772
9/21/2023,7.619140738,16.209229,1.1164551,3.021728525,7.12426765,11.85815425
9/22/2023,40.8018073,820.0701,0.031982422,3.0507812,9.241089,18.259033
9/23/2023,263.4406685,1818.5076,1.6777344,48.768799,104.06177,322.038695
9/24/2023,16.32380981,51.479248,0.3864746,7.225097625,13.46228025,24.0573125
9/25/2023,691.8180327,5409.803,3.5656738,75.46496875,370.924315,775.38683
9/26/2023,257.8064221,740.78345,0.2434082,101.013733,224.566525,363.072565
9/27/2023,36.56051204,175.45752,0.7590332,4.0008544,4.9692383,33.368042
9/28/2023,165.0272359,477.86865,0.22192383,5.78674315,18.326904,384.2307675
9/29/2023,178.6461395,2292.3374,4.6328125,17.007568,50.9834,70.38452
9/30/2023,10.74588011,24.595459,3.5219727,5.5302124,7.832031,14.59808375
10/1/2023,21.70846954,68.22778,0.95996094,7.8901367,11.257324,27.433594
10/2/2023,19.77986227,49.806396,1.4187012,3.0123291,18.414795,32.97522
10/4/2023,233.2916493,2354.1318,0.4645996,11.945557,44.559082,114.50342
10/5/2023,190.3880752,858.92285,0.20654297,39.9300535,109.449705,284.024535
