date,average_UF_minus_FINE,max_UF_minus_FINE,min_UF_minus_FINE,p25_UF_minus_FINE,p50_UF_minus_FINE,p75_UF_minus_FINE,geometric_mean_daily_mean_nm,geometric_std_daily_mean_nm,geometric_mean_smallest_25pct_daily_mean_nm,geometric_mean_smallest_50pct_daily_mean_nm,geometric_mean_smallest_75pct_daily_mean_nm,geometric_std_smallest_25pct_daily_mean_nm,geometric_std_smallest_50pct_daily_mean_nm,geometric_std_smallest_75pct_daily_mean_nm,label_code,label_class,event_class,is_event
4/13/2023,54.35486301,106.03076,18.30774,36.7626965,51.69873,70.24664125,59.71569802,2.14886111,45.24018039,50.70327775,55.76199078,2.036777786,2.080572419,2.10987963,u,undefined,non_event,0
4/14/2023,90.87323488,2555.0256,31.323242,55.330445,65.4082,112.09375,58.65239504,2.045146855,47.50386098,51.44786713,54.88910744,1.767069444,1.86601399,1.955649536,u,undefined,non_event,0
4/18/2023,66.79679733,142.13184,23.902466,41.79962125,60.2565915,84.9510505,66.62621866,1.908718749,53.40451373,56.26565976,60.90999985,1.801611107,1.824416663,1.859884256,u,undefined,non_event,0
4/19/2023,112.4319112,363.1958,38.291504,64.3141475,75.981325,146.466555,58.47609017,2.213913196,40.39294418,47.60163188,53.86268976,1.987833343,2.07459723,2.142371562,u,undefined,non_event,0
4/20/2023,283.1593014,2560.7866,49.468506,84.901123,132.28845,278.9560575,34.70265275,1.961222222,20.7841666,23.09017352,25.56771293,1.749638889,1.801104168,1.869134259,e,Class I,event,1
4/21/2023,357.3507859,1541.4927,25.506348,75.72565,139.80835,581.410835,31.75087109,1.965362372,23.04069434,25.84511801,28.54470699,1.7519452,1.830937928,1.898842595,e,Class I,event,1
4/22/2023,355.9792396,1733.6406,7.7453003,47.0377505,123.062255,507.9428725,40.37440281,2.25354514,26.53406941,29.57860418,33.96945843,1.984930565,2.074655183,2.156617516,b,Class II,event,1
4/25/2023,81.75574342,503.06787,25.02124,59.116761,70.09729,84.3939225,65.5007221,1.952072918,59.33691671,61.52376379,63.3768842,1.835671229,1.861499997,1.910527777,n,nonevent,non_event,0
4/26/2023,70.18882866,398.21948,21.470459,37.600891,48.2593995,66.640349,78.79912855,1.920767359,66.04299974,72.25977763,75.59302314,1.818999999,1.836883561,1.858824075,n,nonevent,non_event,0
4/27/2023,26.28305221,75.66284,3.8916016,14.313934,23.7161865,33.104645,86.49579175,1.953256948,74.00879203,77.26330566,82.54975012,1.841808221,1.874308223,1.915254633,n,nonevent,non_event,0
4/28/2023,26.62419285,924.7634,6.282837,14.2144165,19.579712,27.829651,81.08134847,2.182254354,62.67612471,70.70509011,76.64766055,1.893069454,2.040602745,2.111883722,n,nonevent,non_event,0
4/29/2023,151.8489102,678.4404,14.051025,29.9307865,64.48242,197.374515,55.24756928,2.222111105,30.9531806,41.64409657,49.6859125,2.002194444,2.092076384,2.163749992,b,Class II,event,1
4/30/2023,208.274135,3252.474,31.766602,43.1900635,91.825195,174.675045,34.15240981,1.857302078,19.60238899,22.37422233,28.51905568,1.556890408,1.614604163,1.761152772,e,Class I,event,1
5/1/2023,271.2690071,2452.646,6.125,73.9115605,87.36548,143.9645975,33.16805557,1.747937498,23.81363893,27.68944441,30.26409262,1.595666675,1.611421773,1.635375004,e,Class I,event,1
5/2/2023,288.3128565,3154.0767,18.176758,70.71582,99.34082,133.47754,39.42566308,1.727232638,27.67568045,31.63224304,34.75498607,1.616472224,1.641972415,1.67160648,e,Class I,event,1
5/3/2023,287.8370079,2858.1,34.188477,50.1882325,65.21973,220.96509,50.29390626,1.855315971,39.56090286,43.21414585,46.67164822,1.687472216,1.728724134,1.787120368,b,Class II,event,1
5/4/2023,54.95730244,222.58105,23.211182,41.081848,50.85266,63.70495575,86.96061438,1.812065972,72.90902747,80.10684016,84.14169878,1.749287667,1.769110343,1.788560185,n,nonevent,non_event,0
5/5/2023,49.45448287,1448.3292,17.0979,29.51477025,37.943238,51.6720585,101.0796098,1.872303137,86.74387508,93.12706942,97.3674326,1.60876389,1.687048612,1.773591743,n,nonevent,non_event,0
5/6/2023,124.6713587,669.85205,30.598389,50.756715,90.9834,136.6237175,57.40996527,2.068645831,36.76068049,41.81966677,49.42152778,1.60198631,1.744736112,1.927300929,u,undefined,non_event,0
5/7/2023,133.471312,1156.8442,26.8042,52.44738775,70.13074,120.38489,62.24634382,2.279614578,38.6128611,46.29304173,52.30151392,1.858708324,2.073305546,2.189499992,u,undefined,non_event,0
5/8/2023,208.414556,3691.7822,34.181763,82.46814,103.662842,160.7377325,56.28117706,2.174083337,28.97584709,39.96014571,47.22020829,1.728652782,1.881354169,2.046296297,b,Class II,event,1
5/9/2023,76.20118292,692.45215,23.35852,42.82635625,56.2613525,72.07483,93.11205901,2.076072915,50.97193056,64.90011819,78.29365734,1.897635138,1.965451388,2.019633027,n,nonevent,non_event,0
5/10/2023,89.17638388,609.1638,29.90271,59.81164575,74.939208,96.7131975,72.80407974,2.130461808,47.89011097,55.28959709,64.6108331,1.985397265,2.018833337,2.063606482,n,nonevent,non_event,0
5/11/2023,73.64124348,810.6633,17.0896,47.4565725,57.922119,76.449769,76.98918748,2.315031246,55.21819443,64.9649166,70.83832405,2.170263883,2.233541093,2.269370365,n,nonevent,non_event,0
5/12/2023,127.0840578,2148.144,15.619385,63.45947275,73.53479,89.7502445,84.48853303,2.354177704,52.95868052,67.28829853,76.002386,2.115824329,2.205882761,2.266680559,b,Class II,event,1
5/13/2023,192.7769225,2165.1675,15.388672,79.81128,161.05322,201.2583,43.86688538,1.736520834,28.63631935,35.6356111,39.7143518,1.464232876,1.49129861,1.608843318,e,Class I,event,1
5/14/2023,125.9358315,1829.8644,25.710938,65.8562615,90.350097,135.3953525,53.22203471,1.969659723,43.2049027,47.17148606,49.68073608,1.697643842,1.797305557,1.879285716,n,nonevent,non_event,0
5/15/2023,27.01240807,111.30383,4.109665,12.0247115,21.1070865,41.91868575,96.19459391,2.358725693,63.56845856,73.43193054,84.29943989,2.062791657,2.154234483,2.239393518,n,nonevent,non_event,0
5/16/2023,20.31488429,147.66779,8.289978,15.13490275,19.094864,23.3827895,117.6450768,2.234173608,101.0176947,107.2191323,111.4997039,1.870347222,2.016149661,2.122277776,n,nonevent,non_event,0
5/17/2023,65.1977047,444.77283,19.891235,33.120667,46.016235,79.5387575,79.72044444,2.402062498,56.49738895,67.50352102,74.11276867,2.028680555,2.149055553,2.277746542,n,nonevent,non_event,0
5/18/2023,102.7427173,451.83838,42.916748,64.15146,86.742003,122.1518525,66.20279367,2.311776223,55.53970824,60.48314675,63.54638314,2.085472221,2.164277776,2.235028035,n,nonevent,non_event,0
5/19/2023,82.00830557,1001.0961,11.533203,45.055664,53.629395,72.71326,102.3561254,2.214484323,60.77841633,69.34911082,82.73840446,1.834916673,1.966229171,2.072897679,n,nonevent,non_event,0
5/20/2023,303.3107154,3157.7964,25.549683,49.93206775,142.34009,201.20227,52.82777775,2.124236107,33.71797225,37.77092365,43.6519491,1.73709588,1.802493051,1.927958524,e,Class I,event,1
5/21/2023,101.4260947,200.45386,49.737793,76.2628775,97.28845,117.2373655,59.51528811,2.0234757,45.39723603,49.34559716,53.43822681,1.934958337,1.969707483,1.994705077,n,nonevent,non_event,0
5/22/2023,58.10839084,252.52417,22.794678,38.083495,51.4423825,70.519409,96.90686128,2.040840279,78.85998652,85.46362506,91.81106504,1.960847212,1.987590272,2.013995391,n,nonevent,non_event,0
5/23/2023,47.32565311,358.93213,17.045654,35.05651875,41.6872565,51.346985,104.3212361,2.10740625,93.39818096,97.0804863,99.77370838,1.977876717,2.017390417,2.058166667,n,nonevent,non_event,0
5/24/2023,75.52326188,597.58594,16.032349,37.59908925,53.5835575,79.3502825,92.25933327,2.2218368,62.52293046,76.06974294,84.6841898,2.006069437,2.059993051,2.133689814,u,undefined,non_event,0
5/25/2023,62.679274,324.83496,21.111938,42.69659575,58.7838135,73.58246,81.03430544,2.158531241,65.83409701,70.06440963,74.9297083,2.055452046,2.088423601,2.118157398,n,nonevent,non_event,0
5/26/2023,88.70819841,2125.197,22.592163,46.42395,76.254395,99.327393,90.83009093,2.173975522,70.33066633,77.59355959,84.07934592,1.913041666,2.021694444,2.104772096,n,nonevent,non_event,0
5/27/2023,71.46858511,181.5105,24.30127,40.17700175,58.232665,85.02362,101.4664307,1.976312497,80.49415292,90.3140139,96.78989354,1.885671233,1.919402776,1.948231476,n,nonevent,non_event,0
5/28/2023,66.4345966,499.32178,23.807129,50.70599375,61.2397465,72.776612,97.24246169,2.092069442,87.99654118,91.3309372,93.5814905,1.913540539,1.938777779,2.011523147,n,nonevent,non_event,0
5/29/2023,81.68592838,384.19238,25.998047,42.64001475,57.831665,100.6007975,85.3666076,2.204194448,62.28019444,73.01328471,79.8529677,2.035611113,2.082520836,2.141465443,n,nonevent,non_event,0
5/30/2023,122.8621483,2511.0566,39.58362,67.525207,90.307985,121.3192125,66.57598948,2.211097225,44.43918059,54.98116657,61.12596756,2.030630143,2.094634494,2.144754636,b,Class II,event,1
6/1/2023,76.15784407,407.15894,13.935791,43.2514645,63.09265,82.357115,89.42812516,2.201590277,73.68733358,78.68700714,83.42278253,1.953361116,2.058606903,2.118282412,n,nonevent,non_event,0
6/2/2023,102.5790849,1535.3989,26.427612,41.7205825,63.614441,112.2411175,79.19177366,2.187466901,46.94681946,56.07412518,66.3069211,1.921534249,2.025243061,2.091758141,u,undefined,non_event,0
6/3/2023,133.0050266,1333.0967,29.006409,48.82134975,82.34436,146.29666,55.80291664,2.31441319,38.08245826,46.86575687,52.00060178,2.134479451,2.211729161,2.265857139,u,undefined,non_event,0
6/4/2023,99.76335665,501.7036,23.408203,48.123474,68.858948,97.525725,75.93736084,2.222184033,52.28074993,60.76545809,68.08714788,2.091918916,2.125430559,2.16788991,u,undefined,non_event,0
6/5/2023,47.25578986,303.57935,15.755859,28.17636175,35.377075,44.87350575,98.60392357,2.198361107,80.41756921,90.27439581,94.77647214,2.042000001,2.075965984,2.108930553,n,nonevent,non_event,0
6/6/2023,71.56904925,1885.75,13.526794,31.35287475,38.522644,57.434906,97.43806256,2.289715278,78.4276389,87.35776393,92.60330568,2.101930554,2.164834484,2.216777777,n,nonevent,non_event,0
6/7/2023,64.82467825,526.85693,12.705322,26.85342425,39.18683,74.86389375,92.55286778,2.315326384,70.05441634,79.54120111,85.89034236,2.114944448,2.186166664,2.235472214,n,nonevent,non_event,0
6/8/2023,143.2500078,1217.0564,18.805054,35.38754175,56.8126215,102.8229975,78.10153819,2.291909725,55.92765294,64.64917371,70.04271763,2.056263887,2.121753426,2.184787039,b,Class II,event,1
6/9/2023,121.7054257,1505.6461,25.075684,61.767334,83.23169,135.74951,72.18229964,2.074557488,54.98661105,60.77219441,65.18891628,1.88308333,1.949375001,2.00342325,n,nonevent,non_event,0
6/10/2023,155.1575096,1955.9236,22.951355,54.652772,82.61792,184.631835,58.73400709,2.010586807,41.52719469,48.92823623,53.78455108,1.827736114,1.895506945,1.950074076,b,Class II,event,1
